Row,subj01,subj02,subj03,subj04,subj05,subj06,subj07,subj08,subj09,subj10,subj11,subj12,subj13,subj14,subj15,subj16,subj17,subj18,subj19,subj20,subj21,subj22,subj23,subj24
alligator,0.976908695655611,1.07533364195103,1.44477449587112,1.28579974258399,0.945297003860876,1.27686946417138,1.08973553573874,1.25234664846694,1.38532453710698,1.36319248947399,0.377219427243873,1.14480122574603,1.37894206581911,1.44399074986936,0.949729751551644,0.885815825079518,0.652406865773135,1.51901434012629,0.770783393616325,0.77236024769075,0.978675676492955,1.29575096779234,0.960222553563318,1.00860453210305
ant,-0.633806302912494,-0.678367731625454,-0.726378337703162,-0.6976402580956,-0.818058782419471,-0.695407004013294,-0.901979585404707,-0.816996870154818,-0.628713856976638,-0.770676149989748,-0.568921103384201,-1.17618714009137,-1.13322404038343,-0.703246520095829,-0.724608625257921,-0.979884762256104,-0.886217418824779,-0.73137727487562,-0.65504007662062,-0.747220131129387,-0.730389084635598,-0.875660840227684,-0.811350839832572,-0.765148265733349
bee,-0.633806302912494,-0.678367731625454,-0.775722720284396,-0.61612902519096,-0.818058782419471,-0.695407004013294,-1.10625805936814,-0.816996870154818,-0.903355456169859,-0.610062381427962,-0.779174554634885,-1.17618714009137,-1.19164650796954,-0.703246520095829,-0.777762224521717,-0.903733717875058,-0.886217418824779,-0.73137727487562,-0.740589484834837,-0.723476687710323,-0.678599243389279,-0.779153648760127,-1.06443275317484,-0.765148265733349
bird,-0.658211075618071,-0.678367731625454,-0.57834518995946,-0.6976402580956,-0.818058782419471,-0.578009595192778,-0.748770729932134,-0.622235127225712,-0.74314785664048,-0.564172733267451,-0.779174554634885,-0.109066052350033,-0.548999364522374,-0.725613574991299,-0.644878226362227,-0.446827451588783,-0.62978003805846,-0.73137727487562,-0.65504007662062,-0.747220131129387,-0.678599243389279,0.161791468048551,-0.40641977848494,-0.765148265733349
butterfly,-0.658211075618071,-0.678367731625454,-0.775722720284396,-0.751981080032027,-0.818058782419471,-0.695407004013294,-1.10625805936814,-0.549199473627297,-0.903355456169859,-0.633007205508217,-0.700329510415878,-1.14950911289783,-0.724266767280691,-0.725613574991299,1.26865134713442,-0.903733717875058,-0.886217418824779,-0.73137727487562,-0.712073015430098,-0.723476687710323,-0.678599243389279,-0.875660840227684,-1.06443275317484,-0.765148265733349
camel,-0.658211075618071,-0.678367731625454,-0.751050528993779,-0.969344367777736,-0.747524550968257,-0.695407004013294,-1.10625805936814,-0.816996870154818,-0.903355456169859,-0.747731325909493,-0.752892873228549,-0.2424561883177,-1.36691391072785,-0.703246520095829,-0.644878226362227,-1.43679102854238,-0.886217418824779,-0.73137727487562,-0.626523607215881,-0.747220131129387,-0.756284005258758,-0.875660840227684,-1.03912456184061,-0.765148265733349
cheetah,-0.658211075618071,-0.678367731625454,-0.751050528993779,-0.670469847127387,-0.818058782419471,-0.695407004013294,-0.901979585404707,-0.768306434422542,-0.651600656909407,-0.747731325909493,-0.700329510415878,-0.669304623414234,-0.402943195557111,-0.703246520095829,-0.591724627098432,-0.903733717875058,-0.75799872844162,-0.73137727487562,-0.598007137811142,-0.747220131129387,-0.756284005258758,-0.875660840227684,-1.01381637050639,-0.765148265733349
chicken,-0.658211075618071,-0.678367731625454,-0.751050528993779,-0.724810669063814,-0.818058782419471,-0.695407004013294,-0.876444776159278,-0.816996870154818,-0.880468656237091,-0.770676149989748,-0.752892873228549,-1.14950911289783,-1.01637910521122,-0.703246520095829,-0.777762224521717,-0.1422232740646,-0.75799872844162,-0.73137727487562,-0.712073015430098,-0.747220131129387,-0.704494164012439,-0.875660840227684,-1.03912456184061,-0.765148265733349
chipmunk,-0.658211075618071,-0.678367731625454,-0.775722720284396,-0.779151491000241,-0.818058782419471,-0.695407004013294,-1.10625805936814,-0.816996870154818,-0.903355456169859,-0.747731325909493,-0.752892873228549,0.1577142195853,-0.140042091419635,-0.703246520095829,-0.724608625257921,-0.675280584731921,-0.886217418824779,-0.73137727487562,-0.740589484834837,-0.723476687710323,-0.626809402142959,-0.875660840227684,-0.608885309158755,-0.765148265733349
crow,-0.658211075618071,-0.656168980061195,-0.726378337703162,-0.806321901968454,-0.818058782419471,-0.695407004013294,-0.774305539177563,-0.816996870154818,-0.834695056371554,-0.472393436946431,-0.726611191822214,-0.269134215511233,-0.0816196238335299,-0.703246520095829,-0.724608625257921,-0.713356106922444,-0.75799872844162,-0.73137727487562,-0.626523607215881,-0.747220131129387,-0.626809402142959,-0.755026850893238,-0.634193500492983,-0.765148265733349
dog,-0.658211075618071,-0.678367731625454,-0.652361763831311,-0.561788203254533,-0.465387625163401,-0.695407004013294,0.170482402903304,-0.597889909359573,-0.903355456169859,-0.747731325909493,-0.752892873228549,-0.6426265962207,-1.07480157279732,-0.725613574991299,-0.830915823785512,-0.446827451588783,-0.62978003805846,-0.73137727487562,-0.626523607215881,-0.723476687710323,-0.704494164012439,-0.224237297821676,-0.330495204482259,-0.717848191124378
dolphin,1.78226619493966,1.51930867323622,1.61747983490544,1.63901508517076,1.53308226595432,1.65254117239703,1.44722286517475,1.61752491645901,1.38532453710698,1.50086143395552,1.5861767719353,1.49161557926197,1.52499823478437,1.4887248596603,-0.698031825626023,1.83770387984259,1.54993769845525,1.51901434012629,1.59776100635375,1.57963732393895,1.80731313643407,1.53701894646123,1.26392084957404,1.59985546471518
